"abbastanza","enough; quite, rather, fairly","abbastanza"
"accogliente, accoglienti","welcoming, friendly","accogliente, accoglienti"
"adattarsi (a)","to adapt (to); essersi adattato;","adattarsi (a)"
"adattarsi a fare qc","to adapt to, make the best of doing sth","adattarsi a fare qc"
"adattarsi a qc","to adapt to, make the best of sth","adattarsi a qc"
"amicizia","f. friendship","amicizia"
"aperto,  aperta","open","aperto,  aperta"
"approccio","m. approach","approccio"
"arrabbiarsi per qc","to get angry about sth","arrabbiarsi per qc"
"arrabbiarsi","to get angry; essersi arrabbiato","arrabbiarsi"
"assistere a","to be present, attend; witness; watch, supervise","assistere a"
"assistere","to assist, look after, treat; avere assistito","assistere"
"avere un buon/brutto carattere","to be good-/ill-natured, be good-/bad-tempered","avere un buon/brutto carattere"
"avere una mentalità aperta","to be open-minded","avere una mentalità aperta"
"avere una mentalità ristretta","to be narrow-minded","avere una mentalità ristretta"
"averne abbastanza di qn/qc","to have had enough of sb/sth, be fed up with sb/sth","averne abbastanza di qn/qc"
"brioso, briosa","lively","brioso, briosa"
"carattere","m. character, nature","carattere"
"chiacchierare","to chat, gossip; avere chiacchierato","chiacchierare"
"codardia","f. cowardice","codardia"
"con diffidenza","suspiciously","con diffidenza"
"copione","m. script","copione"
"coraggio","m. courage","coraggio"
"costanza","f. constancy, steadfastness","costanza"
"creativo, creativa","creative","creativo, creativa"
"definirsi","to define o.s., call o.s.; essersi definito","definirsi"
"determinare","(gen) to determine; (cause) bring about, cause; avere determinato","determinare"
"difetto","m. fault, flaw, defect; (moral) failing","difetto"
"diffidente, diffidenti"," distrustful, suspicious, wary","diffidente, diffidenti"
"diffidenza","f. distrust, suspicion","diffidenza"
"disponibile, disponibili","(place, thing) available, (person) helpful","disponibile, disponibili"
"espansivo, espansiva","expansive, communicative","espansivo, espansiva"
"essere (abbastanza) fiducioso in qc","to be (quite) confident of sth","essere (abbastanza) fiducioso in qc"
"essere (abbastanza) diffidente verso qc","to be wary of sth","essere diffidente verso qc"
"esuberante, esuberanti","exhuberant","esuberante, esuberanti"
"evitare di fare qc","to avoid doing sth","evitare di fare qc"
"evitare","to avoid, dodge, evade; avere evitato","evitare"
"festaiolo, festaiola","festive","festaiolo, festaiola"
"fiducioso, fidduciosa","confident, trusting, trustful","fiducioso, fiduciosa"
"frizzante, frizzanti","(gen) fizzy, sparkling; (person) effervescent, bubbly","frizzante, frizzanti"
"generoso, generosa","generous","generoso, generosa"
"gesticolare","to gesticulate; avere gesticolato","gesticolare"
"grandi inventori","great inventors","grandi inventori"
"introverso, introversa","introverted","introverso, introversa"
"irriverente, irriverenti","irreverent","irriverente, irriverenti"
"magari","even, perhaps","magari"
"manifestare a favore di qc","to demonstrate, protest in favor of sth","manifestare a favore di qc"
"manifestare contro qc","to demonstrate, protest against sth","manifestare contro qc"
"manifestare","(gen) to show, display; (opinion, intent) reveal, express; avere manifestato","manifestare"
"mentalità","f. mentality, mindset","mentalità"
"nemico","m. enemy","nemico"
"ottimista","m./f. optimist","ottimista"
"perciò"," therefore, so, for this (or that) reason ","perciò"
"perfetto, perfetta","(gen) perfect; (silence, agreement) complete, total","perfetto, perfetta"
"proattivo, proattiva","proactive","proattivo, proattiva"
"qualità","f. quality","qualità"
"quieto vivere","quiet life","quieto vivere"
"riconoscere","(gen) to recognize, identify; (error, fault) to admit, acknowledge; avere riconosciuto","riconoscere"
"rumoroso, rumorosa","noisy, loud","rumoroso, rumorosa"
"scettico, scettica","skeptical","scettico, scettica"
"solare, solari","(gen) solar, (fig) sunny, cheerful","solare, solari"
"solitamente","usually, generally, as a rule","solitamente"
"sostanzialmente","essentially, substantially","sostanzialmente"
"surreale, surreali","surreal, surrealistic","surreale, surreali"
"tendere a fare qc","to tend to do sth; to aim to do sth","tendere a fare qc"
"tendere a qc","to tend towards sth; to aim at sth","tendere a qc"
"tendere","(put under tension) to tighten, pull or draw tight, stretch; (stick out) to hold out, stretch out; avere teso","tendere"
"testardo, testarda","stubborn, obstinate","testardo, testarda"
"timido, timida","shy, timid","timido, timida"
"tipico, tipica","typical","tipico, tipica"
"viaggiatore","m. traveller","viaggiatore"
"viaggiatrice","f. traveller","viaggiatrice"
"vivace, vivaci","(gen) lively; (color) vivid, brillian, bright","vivace, vivaci"
