"notizie","(piece of) news","notizie"
"faccende domestiche","chores","faccende domestiche"
"suggerire","to suggest, put forward; avere suggerito","suggerire"
"ricercatore","m./f. researcher","ricercatore"
"collegamento","connection","collegamento"
"tra cui","including, among","tra cui"
"miglioramento","improvement","miglioramento"
"capacità","f. capacity; ability, capability","capacità"
"esecutivo, esecutiva","executive","esecutivo, esecutiva"
"grado","degree, level; rank","grado"
"flessibilità","f. flexibility","flessibilità"
"ossia","that is, to be precise","ossia"
"concentrarsi","to concentrate, focus on; essersi concentrato","concentrarsi"
"essere in grado di fare qc","to be able to do sth","essere in grado di fare qc"
"comprendere","to include; comprise, consist of; avere compreso","comprendere"
"interrogare","to question, examine; avere interrogato","interrogare"
"svolgere","to unroll, unwind; develop; discuss; carry out; avere svolto","svolgere"
"differenziare","to differentiate; avere differenziato","differenziare"
"sé","oneself, himself, herself, itself, themselves","sé"
"includere","to enclose, include; avere incluso","includere"
"ciò che","things that","ciò che"
"spuntino","snack","spuntino"
"ad esempio ","for example","ad esempio "
"tuttavia","nevertheless, yet","tuttavia"
"individuare","to identify, pick out; avere individuato","individuare"
"mansione","f. duty, job, task","mansione"
"condurre","to lead, run, conduct; avere condotto","condurre"
"curare","to treat, cure, look after; avere curato","curare"
"probabilità","f. probability, likelihood","probabilità"
"eccellere (in)","to excel (at); avere eccelso","eccellere (in)"
"in definitiva","in the end; all in all","in definitiva"
"mostrare","to show, demonstrate; avere mostrato","mostrare"
"incoraggiare","to encourage; avere incoraggiato","incoraggiare"
"tale","such (a)","tale"
"interesse","m. interest","interesse"
"scoraggiare","to discourage; avere scoraggiato","scoraggiare"
